id_parada,data_hora_inicio,data_hora_fim,aerogerador,subsistema,codigo_alarme,descricao_alarme,tempo_parada_horas,tipo_manutencao
1,2025-01-01 02:19:00,2025-01-01 11:01:00,WTG-19,Sensors / Weather,801,Anemometer mismatch,8.7,Preventiva
2,2025-01-01 08:51:00,2025-01-01 12:33:00,WTG-14,Hydraulic System,404,Hydraulic oil low level,3.7,Corretiva
3,2025-01-01 10:14:00,2025-01-02 06:20:00,WTG-03,Hydraulic System,403,Hydraulic pump motor overload,20.1,Corretiva
4,2025-01-01 10:30:00,2025-01-02 05:12:00,WTG-09,Sensors / Weather,801,Anemometer mismatch,18.7,Corretiva
5,2025-01-01 10:57:00,2025-01-01 15:57:00,WTG-20,Sensors / Weather,803,Ice detection on blades,5.0,Corretiva
6,2025-01-01 18:37:00,2025-01-02 02:55:00,WTG-02,Hydraulic System,403,Hydraulic pump motor overload,8.3,Corretiva
7,2025-01-01 20:24:00,2025-01-02 06:48:00,WTG-27,Sensors / Weather,802,Wind vane error,10.4,Corretiva
8,2025-01-02 00:47:00,2025-01-02 04:47:00,WTG-07,Converter / Electrical,604,DC link overvoltage,4.0,Corretiva
9,2025-01-02 00:59:00,2025-01-02 07:23:00,WTG-24,Converter / Electrical,601,Grid voltage out of limits,6.4,Corretiva
10,2025-01-02 18:06:00,2025-01-03 09:30:00,WTG-14,Yaw System,305,Yaw inverter fault,15.4,Corretiva
11,2025-01-03 12:51:00,2025-01-03 14:15:00,WTG-07,Sensors / Weather,803,Ice detection on blades,1.4,Corretiva
12,2025-01-03 20:43:00,2025-01-04 10:01:00,WTG-30,Generator,502,Generator cooling failure,13.3,Corretiva
13,2025-01-04 00:52:00,2025-01-04 14:10:00,WTG-29,Hydraulic System,402,High hydraulic pressure,13.3,Corretiva
14,2025-01-04 01:04:00,2025-01-04 03:10:00,WTG-13,Converter / Electrical,603,Converter communication failure,2.1,Corretiva
15,2025-01-04 07:13:00,2025-01-04 09:49:00,WTG-03,Hydraulic System,404,Hydraulic oil low level,2.6,Corretiva
16,2025-01-05 05:25:00,2025-01-05 09:49:00,WTG-09,Gearbox (Multiplicador),703,Bearing vibration high,4.4,Corretiva
17,2025-01-05 09:20:00,2025-01-05 11:26:00,WTG-13,Generator,504,Slip ring brush wear limit,2.1,Corretiva
18,2025-01-06 12:22:00,2025-01-06 20:16:00,WTG-26,Sensors / Weather,802,Wind vane error,7.9,Corretiva
19,2025-01-06 16:21:00,2025-01-06 19:33:00,WTG-12,Yaw System,301,Yaw error,3.2,Corretiva
20,2025-01-06 16:33:00,2025-01-07 06:21:00,WTG-17,Sensors / Weather,802,Wind vane error,13.8,Corretiva
21,2025-01-06 22:31:00,2025-01-07 16:01:00,WTG-21,Hydraulic System,405,Valve switching failure,17.5,Corretiva
22,2025-01-07 04:30:00,2025-01-07 11:18:00,WTG-19,Sensors / Weather,801,Anemometer mismatch,6.8,Preventiva
23,2025-01-07 06:54:00,2025-01-07 16:12:00,WTG-21,Generator,502,Generator cooling failure,9.3,Preventiva
24,2025-01-07 10:03:00,2025-01-07 13:03:00,WTG-24,Generator,505,Generator overspeed,3.0,Corretiva
25,2025-01-07 13:03:00,2025-01-08 00:03:00,WTG-25,Yaw System,305,Yaw inverter fault,11.0,Preventiva
26,2025-01-07 22:54:00,2025-01-08 04:12:00,WTG-01,Pitch System,201,Difference between Pitch angles,5.3,Corretiva
27,2025-01-08 02:26:00,2025-01-08 08:38:00,WTG-02,Gearbox (Multiplicador),703,Bearing vibration high,6.2,Corretiva
28,2025-01-08 05:49:00,2025-01-08 20:13:00,WTG-05,Yaw System,301,Yaw error,14.4,Corretiva
29,2025-01-08 17:08:00,2025-01-09 01:44:00,WTG-29,Hydraulic System,404,Hydraulic oil low level,8.6,Corretiva
30,2025-01-08 18:39:00,2025-01-08 22:09:00,WTG-17,Converter / Electrical,601,Grid voltage out of limits,3.5,Corretiva
31,2025-01-09 07:25:00,2025-01-09 10:19:00,WTG-04,Hydraulic System,404,Hydraulic oil low level,2.9,Corretiva
32,2025-01-09 14:00:00,2025-01-09 19:30:00,WTG-18,Pitch System,202,Pitch battery fault,5.5,Corretiva
33,2025-01-09 17:59:00,2025-01-12 01:17:00,WTG-10,Sensors / Weather,802,Wind vane error,55.3,Corretiva
34,2025-01-09 20:39:00,2025-01-09 23:33:00,WTG-15,Sensors / Weather,802,Wind vane error,2.9,Corretiva
35,2025-01-09 22:28:00,2025-01-10 14:28:00,WTG-17,Sensors / Weather,804,Ambient temperature out of range,16.0,Corretiva
36,2025-01-10 20:00:00,2025-01-11 07:42:00,WTG-20,Hydraulic System,405,Valve switching failure,11.7,Preventiva
37,2025-01-11 00:46:00,2025-01-11 12:34:00,WTG-03,Sensors / Weather,801,Anemometer mismatch,11.8,Corretiva
38,2025-01-11 11:37:00,2025-01-11 14:01:00,WTG-05,Hydraulic System,405,Valve switching failure,2.4,Corretiva
39,2025-01-11 13:23:00,2025-01-11 14:05:00,WTG-16,Converter / Electrical,604,DC link overvoltage,0.7,Corretiva
40,2025-01-11 14:53:00,2025-01-11 17:53:00,WTG-30,Generator,503,Bearing temperature high,3.0,Corretiva
41,2025-01-11 18:35:00,2025-01-12 02:11:00,WTG-27,Pitch System,202,Pitch battery fault,7.6,Preventiva
42,2025-01-12 04:21:00,2025-01-12 07:57:00,WTG-22,Gearbox (Multiplicador),701,Low oil pressure,3.6,Corretiva
43,2025-01-12 09:41:00,2025-01-12 11:17:00,WTG-02,Converter / Electrical,601,Grid voltage out of limits,1.6,Corretiva
44,2025-01-12 12:40:00,2025-01-12 13:28:00,WTG-04,Converter / Electrical,601,Grid voltage out of limits,0.8,Corretiva
45,2025-01-12 17:31:00,2025-01-13 00:19:00,WTG-25,Pitch System,201,Difference between Pitch angles,6.8,Corretiva
46,2025-01-13 20:21:00,2025-01-13 21:45:00,WTG-05,Pitch System,204,Pitch position sensor error,1.4,Corretiva
47,2025-01-14 12:27:00,2025-01-15 10:09:00,WTG-29,Converter / Electrical,604,DC link overvoltage,21.7,Corretiva
48,2025-01-15 01:12:00,2025-01-15 06:12:00,WTG-09,Generator,504,Slip ring brush wear limit,5.0,Preventiva
49,2025-01-15 05:27:00,2025-01-15 18:21:00,WTG-22,Gearbox (Multiplicador),705,Gear mesh frequency vibration,12.9,Corretiva
50,2025-01-15 08:48:00,2025-01-15 11:18:00,WTG-01,Sensors / Weather,802,Wind vane error,2.5,Corretiva
51,2025-01-15 09:18:00,2025-01-15 10:54:00,WTG-15,Sensors / Weather,804,Ambient temperature out of range,1.6,Corretiva
52,2025-01-15 13:48:00,2025-01-15 18:42:00,WTG-22,Yaw System,305,Yaw inverter fault,4.9,Preventiva
53,2025-01-15 17:07:00,2025-01-15 18:49:00,WTG-24,Gearbox (Multiplicador),704,Oil filter clogged,1.7,Corretiva
54,2025-01-16 02:47:00,2025-01-17 00:41:00,WTG-15,Hydraulic System,403,Hydraulic pump motor overload,21.9,Corretiva
55,2025-01-16 18:06:00,2025-01-17 16:24:00,WTG-08,Gearbox (Multiplicador),704,Oil filter clogged,22.3,Corretiva
56,2025-01-16 20:00:00,2025-01-17 14:36:00,WTG-27,Hydraulic System,405,Valve switching failure,18.6,Corretiva
57,2025-01-17 01:22:00,2025-01-17 23:10:00,WTG-18,Yaw System,301,Yaw error,21.8,Corretiva
58,2025-01-17 20:01:00,2025-01-18 04:43:00,WTG-29,Hydraulic System,405,Valve switching failure,8.7,Corretiva
59,2025-01-17 21:42:00,2025-01-18 21:54:00,WTG-03,Sensors / Weather,803,Ice detection on blades,24.2,Corretiva
60,2025-01-17 23:44:00,2025-01-18 14:02:00,WTG-27,Hydraulic System,403,Hydraulic pump motor overload,14.3,Corretiva
61,2025-01-18 04:02:00,2025-01-18 16:02:00,WTG-07,Gearbox (Multiplicador),705,Gear mesh frequency vibration,12.0,Preventiva
62,2025-01-18 06:39:00,2025-01-18 19:27:00,WTG-30,Yaw System,304,Yaw brake failure,12.8,Corretiva
63,2025-01-18 07:48:00,2025-01-19 03:18:00,WTG-12,Converter / Electrical,601,Grid voltage out of limits,19.5,Corretiva
64,2025-01-18 15:37:00,2025-01-18 23:19:00,WTG-08,Sensors / Weather,802,Wind vane error,7.7,Corretiva
65,2025-01-18 17:25:00,2025-01-18 19:13:00,WTG-10,Generator,504,Slip ring brush wear limit,1.8,Corretiva
66,2025-01-18 23:27:00,2025-01-19 03:09:00,WTG-23,Converter / Electrical,602,IGBT overtemperature,3.7,Corretiva
67,2025-01-19 10:11:00,2025-01-19 19:41:00,WTG-20,Generator,504,Slip ring brush wear limit,9.5,Corretiva
68,2025-01-19 11:38:00,2025-01-19 19:50:00,WTG-22,Yaw System,303,Cable twist limit exceeded,8.2,Corretiva
69,2025-01-19 21:04:00,2025-01-20 05:52:00,WTG-18,Hydraulic System,401,Low hydraulic pressure,8.8,Corretiva
70,2025-01-20 13:16:00,2025-01-20 18:46:00,WTG-10,Hydraulic System,403,Hydraulic pump motor overload,5.5,Corretiva
71,2025-01-21 00:30:00,2025-01-21 07:30:00,WTG-14,Pitch System,201,Difference between Pitch angles,7.0,Preventiva
72,2025-01-21 05:02:00,2025-01-21 19:20:00,WTG-11,Gearbox (Multiplicador),703,Bearing vibration high,14.3,Corretiva
73,2025-01-21 13:23:00,2025-01-21 20:05:00,WTG-27,Hydraulic System,402,High hydraulic pressure,6.7,Corretiva
74,2025-01-21 14:58:00,2025-01-21 20:40:00,WTG-07,Gearbox (Multiplicador),705,Gear mesh frequency vibration,5.7,Corretiva
75,2025-01-21 15:08:00,2025-01-21 19:50:00,WTG-12,Yaw System,305,Yaw inverter fault,4.7,Corretiva
