id_parada,data_hora_inicio,data_hora_fim,aerogerador,subsistema,codigo_alarme,descricao_alarme,tempo_parada_horas,tipo_parada
1,2025-01-01 05:58:00,2025-01-01 23:34:00,WTG-11,Pitch System,204,Pitch position sensor error,17.6,TRIP
2,2025-01-01 23:40:00,2025-01-02 18:58:00,WTG-30,Pitch System,202,Pitch battery fault,19.3,TRIP
3,2025-01-02 18:13:00,2025-01-02 23:07:00,WTG-18,Pitch System,204,Pitch position sensor error,4.9,TRIP
4,2025-01-02 18:26:00,2025-01-03 07:56:00,WTG-26,PCM-CORR,002,manual stop_repair,13.5,Corrective
5,2025-01-03 16:52:00,2025-01-04 09:16:00,WTG-30,Sensors,804,Ambient temperature out of range,16.4,TRIP
6,2025-01-04 13:31:00,2025-01-05 04:49:00,WTG-09,Pitch System,202,Pitch battery fault,15.3,TRIP
7,2025-01-04 18:48:00,2025-01-04 21:36:00,WTG-25,Hydraulic System,405,Valve switching failure,2.8,TRIP
8,2025-01-05 05:30:00,2025-01-05 07:36:00,WTG-28,Sensors,803,Ice detection on blades,2.1,TRIP
9,2025-01-05 06:50:00,2025-01-05 09:20:00,WTG-03,Pitch System,203,Pitch motor overtemperature,2.5,TRIP
10,2025-01-05 17:16:00,2025-01-07 11:22:00,WTG-04,Sensors,804,Ambient temperature out of range,42.1,TRIP
11,2025-01-06 10:18:00,2025-01-07 00:12:00,WTG-30,Electrical,601,Grid voltage out of limits,13.9,TRIP
12,2025-01-06 11:53:00,2025-01-06 14:17:00,WTG-05,Hydraulic System,403,Hydraulic pump motor overload,2.4,TRIP
13,2025-01-06 13:34:00,2025-01-07 01:46:00,WTG-07,Generator,501,High temperature winding,12.2,TRIP
14,2025-01-06 15:34:00,2025-01-06 17:46:00,WTG-25,Yaw System,305,Yaw inverter fault,2.2,TRIP
15,2025-01-06 19:01:00,2025-01-06 23:13:00,WTG-29,Hydraulic System,403,Hydraulic pump motor overload,4.2,TRIP
16,2025-01-06 20:52:00,2025-01-07 07:58:00,WTG-09,Electrical,601,Grid voltage out of limits,11.1,TRIP
17,2025-01-06 22:03:00,2025-01-06 22:45:00,WTG-12,Generator,505,Generator overspeed,0.7,TRIP
18,2025-01-07 05:51:00,2025-01-08 05:03:00,WTG-26,Hydraulic System,402,High hydraulic pressure,23.2,TRIP
19,2025-01-07 12:18:00,2025-01-07 18:06:00,WTG-08,Pitch System,203,Pitch motor overtemperature,5.8,TRIP
20,2025-01-08 09:42:00,2025-01-09 06:18:00,WTG-28,Gearbox,702,High oil temperature,20.6,TRIP
21,2025-01-08 11:14:00,2025-01-09 08:20:00,WTG-07,Hydraulic System,401,Low hydraulic pressure,21.1,TRIP
22,2025-01-09 09:33:00,2025-01-09 22:51:00,WTG-05,PCM-CORR,002,manual stop_repair,13.3,Corrective
23,2025-01-09 18:10:00,2025-01-10 13:28:00,WTG-19,PCM-CORR,002,manual stop_repair,19.3,Corrective
24,2025-01-09 21:36:00,2025-01-09 23:00:00,WTG-22,Gearbox,705,Gear mesh frequency vibration,1.4,TRIP
25,2025-01-10 07:04:00,2025-01-10 16:58:00,WTG-16,Pitch System,202,Pitch battery fault,9.9,TRIP
26,2025-01-10 20:04:00,2025-01-11 04:10:00,WTG-12,Yaw System,302,Yaw motor overload,8.1,TRIP
27,2025-01-10 21:02:00,2025-01-10 23:14:00,WTG-16,PCM-CORR,002,manual stop_repair,2.2,Corrective
28,2025-01-11 03:38:00,2025-01-11 05:56:00,WTG-16,Generator,505,Generator overspeed,2.3,TRIP
29,2025-01-11 05:20:00,2025-01-12 00:20:00,WTG-06,Generator,501,High temperature winding,19.0,TRIP
30,2025-01-11 07:26:00,2025-01-11 10:50:00,WTG-18,Yaw System,302,Yaw motor overload,3.4,TRIP
31,2025-01-11 09:07:00,2025-01-11 09:49:00,WTG-05,Sensors,803,Ice detection on blades,0.7,TRIP
32,2025-01-11 09:53:00,2025-01-11 15:23:00,WTG-11,Electrical,603,Converter communication failure,5.5,TRIP
33,2025-01-11 09:56:00,2025-01-11 12:08:00,WTG-04,Yaw System,302,Yaw motor overload,2.2,TRIP
34,2025-01-11 13:51:00,2025-01-12 11:03:00,WTG-01,Gearbox,703,Bearing vibration high,21.2,TRIP
35,2025-01-12 00:22:00,2025-01-13 00:28:00,WTG-24,PCM-CORR,002,manual stop_repair,24.1,Corrective
