id_ordem_servico,id_parada_scada,aerogerador,tipo_manutencao,equipe_responsavel,qte_tecnicos,homem_hora_trabalhada,status_ordem,custo_materiais_brl,pecas_substituidas
WO-1001,4,WTG-26,Corrective,Equipe Gama (Geral),2,8.1,Concluída,44420.8,Fiação / Componentes menores
WO-1002,22,WTG-05,Corrective,Equipe Alpha (Mecânica),3,15.9,Concluída,22833.83,Fiação / Componentes menores
WO-1003,23,WTG-19,Corrective,Equipe Alpha (Mecânica),3,20.6,Encerrada com Ressalva,42698.97,Fiação / Componentes menores
WO-1004,27,WTG-16,Corrective,Equipe Alpha (Mecânica),2,3.2,Concluída,51733.65,Fiação / Componentes menores
WO-1005,35,WTG-24,Corrective,Equipe Alpha (Mecânica),3,25.5,Concluída,55439.93,Fiação / Componentes menores
WO-1006,39,WTG-02,Preventive,Equipe Alpha (Mecânica),3,88.4,Concluída,5733.15,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1007,40,WTG-22,Corrective,Equipe Alpha (Mecânica),3,34.7,Concluída,40619.42,Fiação / Componentes menores
WO-1008,42,WTG-03,Corrective,Equipe Alpha (Mecânica),3,6.6,Concluída,26712.66,Fiação / Componentes menores
WO-1009,50,WTG-11,Corrective,Equipe Gama (Geral),3,9.5,Concluída,59026.46,Fiação / Componentes menores
WO-1010,54,WTG-24,Corrective,Equipe Alpha (Mecânica),3,40.0,Concluída,38166.35,Fiação / Componentes menores
WO-1011,58,WTG-05,Corrective,Equipe Alpha (Mecânica),3,35.0,Concluída,59101.01,Fiação / Componentes menores
WO-1012,59,WTG-20,Corrective,Equipe Alpha (Mecânica),2,21.5,Encerrada com Ressalva,34270.86,Fiação / Componentes menores
WO-1013,60,WTG-13,Corrective,Equipe Alpha (Mecânica),3,11.8,Concluída,28915.08,Fiação / Componentes menores
WO-1014,72,WTG-27,Preventive,Equipe Gama (Geral),3,85.8,Concluída,14891.71,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1015,73,WTG-11,Corrective,Equipe Alpha (Mecânica),2,21.7,Encerrada com Ressalva,19249.01,Fiação / Componentes menores
WO-1016,74,WTG-03,Corrective,Equipe Gama (Geral),2,21.4,Concluída,50132.64,Fiação / Componentes menores
WO-1017,76,WTG-16,Preventive,Equipe Alpha (Mecânica),4,105.0,Concluída,5203.02,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1018,77,WTG-10,Corrective,Equipe Alpha (Mecânica),3,20.5,Concluída,9958.57,Fiação / Componentes menores
WO-1019,86,WTG-23,Preventive,Equipe Alpha (Mecânica),4,122.2,Concluída,9723.97,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1020,90,WTG-03,Corrective,Equipe Alpha (Mecânica),2,28.3,Concluída,40714.91,Fiação / Componentes menores
WO-1021,95,WTG-16,Corrective,Equipe Gama (Geral),3,13.5,Concluída,56655.27,Fiação / Componentes menores
WO-1022,96,WTG-11,Corrective,Equipe Gama (Geral),2,3.7,Concluída,7233.59,Fiação / Componentes menores
WO-1023,102,WTG-10,Corrective,Equipe Gama (Geral),2,9.0,Concluída,24731.73,Fiação / Componentes menores
WO-1024,104,WTG-02,Corrective,Equipe Gama (Geral),3,20.2,Concluída,25139.17,Fiação / Componentes menores
WO-1025,107,WTG-29,Corrective,Equipe Gama (Geral),3,22.7,Concluída,8682.61,Fiação / Componentes menores
WO-1026,109,WTG-13,Corrective,Equipe Alpha (Mecânica),2,3.9,Concluída,10374.85,Fiação / Componentes menores
WO-1027,113,WTG-09,Corrective,Equipe Alpha (Mecânica),2,25.2,Aguardando Peça,44284.24,Fiação / Componentes menores
WO-1028,114,WTG-26,Corrective,Equipe Alpha (Mecânica),3,19.4,Concluída,49933.38,Fiação / Componentes menores
WO-1029,118,WTG-06,Corrective,Equipe Gama (Geral),2,6.7,Concluída,57147.96,Fiação / Componentes menores
WO-1030,119,WTG-10,Preventive,Equipe Alpha (Mecânica),4,120.1,Aguardando Peça,6984.3,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1031,120,WTG-22,Corrective,Equipe Alpha (Mecânica),3,31.8,Encerrada com Ressalva,50729.18,Fiação / Componentes menores
WO-1032,124,WTG-29,Preventive,Equipe Alpha (Mecânica),3,84.2,Concluída,10657.78,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1033,125,WTG-02,Corrective,Equipe Alpha (Mecânica),3,67.5,Encerrada com Ressalva,52877.89,Fiação / Componentes menores
WO-1034,130,WTG-14,Corrective,Equipe Gama (Geral),2,12.3,Concluída,45690.24,Fiação / Componentes menores
WO-1035,139,WTG-15,Corrective,Equipe Alpha (Mecânica),3,10.6,Concluída,6287.72,Fiação / Componentes menores
WO-1036,146,WTG-30,Corrective,Equipe Gama (Geral),2,3.6,Aguardando Peça,11351.28,Fiação / Componentes menores
WO-1037,147,WTG-05,Preventive,Equipe Alpha (Mecânica),3,85.6,Encerrada com Ressalva,10844.32,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1038,152,WTG-18,Corrective,Equipe Alpha (Mecânica),3,9.6,Concluída,18362.19,Fiação / Componentes menores
WO-1039,158,WTG-28,Preventive,Equipe Alpha (Mecânica),3,82.2,Concluída,9146.04,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1040,159,WTG-03,Preventive,Equipe Alpha (Mecânica),3,90.5,Concluída,11549.75,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1041,162,WTG-08,Preventive,Equipe Alpha (Mecânica),3,88.0,Concluída,12624.45,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1042,165,WTG-01,Corrective,Equipe Alpha (Mecânica),3,42.7,Concluída,5436.1,Fiação / Componentes menores
WO-1043,167,WTG-24,Preventive,Equipe Gama (Geral),3,83.2,Concluída,8276.11,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1044,171,WTG-18,Preventive,Equipe Alpha (Mecânica),4,100.3,Concluída,9652.12,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1045,174,WTG-16,Corrective,Equipe Alpha (Mecânica),2,32.9,Concluída,49967.16,Fiação / Componentes menores
WO-1046,175,WTG-04,Preventive,Equipe Gama (Geral),3,76.2,Concluída,13381.24,"Óleo lubrificante, filtros de óleo, graxa, consumíveis gerais"
WO-1047,182,WTG-09,Corrective,Equipe Gama (Geral),3,28.9,Encerrada com Ressalva,7292.73,Fiação / Componentes menores
WO-1048,183,WTG-14,Corrective,Equipe Gama (Geral),3,2.8,Concluída,10389.11,Fiação / Componentes menores
WO-1049,185,WTG-12,Corrective,Equipe Alpha (Mecânica),2,14.8,Concluída,9272.0,Fiação / Componentes menores
